# Chunk-averaged data for fix velocity_z and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vz
10 100 440002
  1 0.005 3726.6 29.9631
  2 0.015 3447.8 29.9528
  3 0.025 6425.7 30.0253
  4 0.035 5054 30.0218
  5 0.045 6724 30.0189
  6 0.055 5043 29.9793
  7 0.065 6714.2 30.0112
  8 0.075 5052.8 30.0069
  9 0.085 6647.1 30.0398
  10 0.095 5119.9 29.9249
  11 0.105 6211.1 30.0303
  12 0.115 4696.8 30.0255
  13 0.125 3622.1 29.9562
  14 0.135 3675 30.0759
  15 0.145 3680.6 29.9832
  16 0.155 3820.7 29.9845
  17 0.165 6572.7 29.9883
  18 0.175 5043 30.0164
  19 0.185 6724 30.045
  20 0.195 5043 30.031
  21 0.205 6724 29.982
  22 0.215 5043 29.962
  23 0.225 6724 29.9671
  24 0.235 5043 30.0178
  25 0.245 6645 29.9715
  26 0.255 3753.4 29.9921
  27 0.265 3675.6 29.9969
  28 0.275 3676 29.9962
  29 0.285 3636.1 30.0287
  30 0.295 5037.1 30.0349
  31 0.305 5855.8 29.9511
  32 0.315 5519.8 29.9984
  33 0.325 6247.2 30.0026
  34 0.335 5142.6 29.9979
  35 0.345 6624.4 29.996
  36 0.355 5060.7 29.9395
  37 0.365 6706.3 29.9548
  38 0.375 5050.7 30.0122
  39 0.385 6583.4 30.0072
  40 0.395 3321.7 29.9664
  41 0.405 5201.1 29.9897
  42 0.415 5587.2 29.9637
  43 0.425 120.9 30.3244
  44 0.435 0 0
  45 0.445 0 0
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 0 0
  57 0.565 0 0
  58 0.575 113.7 -29.3874
  59 0.585 5553.4 -29.9978
  60 0.595 5243.1 -30.0351
  61 0.605 3266.1 -29.9331
  62 0.615 6584.7 -30.0115
  63 0.625 5046 -30.0791
  64 0.635 6717.2 -29.9841
  65 0.645 5049.8 -29.9818
  66 0.655 6657.8 -29.9699
  67 0.665 5109.2 -29.9682
  68 0.675 6373 -30.0302
  69 0.685 5394 -30.0161
  70 0.695 5877.1 -29.9935
  71 0.705 5016.9 -30.0188
  72 0.715 3636 -30.0511
  73 0.725 3676 -30.0698
  74 0.735 3679.4 -30.0251
  75 0.745 3746.2 -29.9749
  76 0.755 6647.4 -29.9753
  77 0.765 5043 -29.9861
  78 0.775 6724 -30.0411
  79 0.785 5043 -29.9439
  80 0.795 6724 -29.9973
  81 0.805 5043 -30.0106
  82 0.815 6724 -30.0241
  83 0.825 5043 -29.9931
  84 0.835 6600.9 -30.0047
  85 0.845 3792.7 -30.0176
  86 0.855 3679.5 -29.9674
  87 0.865 3675.9 -29.9855
  88 0.875 3624.5 -29.9776
  89 0.885 4792 -29.9497
  90 0.895 6113.5 -30.0093
  91 0.905 5151.3 -29.9774
  92 0.915 6615.7 -29.9449
  93 0.925 5057.4 -29.9556
  94 0.935 6709.6 -29.978
  95 0.945 5050.2 -30.0143
  96 0.955 6716.8 -29.9991
  97 0.965 5090.4 -30.0002
  98 0.975 6447.6 -30.0074
  99 0.985 3393.1 -29.9317
  100 0.995 3736.8 -30.0306
20 100 440002
  1 0.005 3721.3 29.9543
  2 0.015 3452.6 29.9532
  3 0.025 6423.2 30.0238
  4 0.035 5055.9 30.025
  5 0.045 6724 30.0184
  6 0.055 5043 29.9774
  7 0.065 6710.1 30.0114
  8 0.075 5056.9 30.0064
  9 0.085 6619.8 30.0373
  10 0.095 5147.2 29.9297
  11 0.105 6164 30.0314
  12 0.115 4739.3 30.0252
  13 0.125 3626.7 29.9577
  14 0.135 3675 30.0761
  15 0.145 3679.2 29.9853
  16 0.155 3794.1 29.9791
  17 0.165 6600.7 29.9898
  18 0.175 5043 30.0153
  19 0.185 6724 30.0439
  20 0.195 5043 30.0335
  21 0.205 6724 29.9824
  22 0.215 5043 29.9592
  23 0.225 6724 29.9682
  24 0.235 5043 30.0164
  25 0.245 6608 29.9723
  26 0.255 3787.4 29.9876
  27 0.265 3678.6 29.9995
  28 0.275 3676 29.9941
  29 0.285 3627.9 30.0288
  30 0.295 4902.9 30.0346
  31 0.305 5998.2 29.9527
  32 0.315 5273.5 29.9939
  33 0.325 6493.5 30.0064
  34 0.335 5059.3 29.9974
  35 0.345 6707.7 29.9958
  36 0.355 5045.5 29.941
  37 0.365 6721.5 29.9531
  38 0.375 5043.7 30.0129
  39 0.385 6578.4 30.0084
  40 0.395 3284.1 29.9724
  41 0.405 5181.6 29.9923
  42 0.415 5646.7 29.9548
  43 0.425 130.5 30.1332
  44 0.435 0 0
  45 0.445 0 0
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 0 0
  57 0.565 0 0
  58 0.575 124 -30.1535
  59 0.585 5615.2 -30.0051
  60 0.595 5210.5 -30.0157
  61 0.605 3236.8 -29.9253
  62 0.615 6577.2 -30.0101
  63 0.625 5043.3 -30.0815
  64 0.635 6723.9 -29.9824
  65 0.645 5043.1 -29.9832
  66 0.655 6714.3 -29.9705
  67 0.665 5052.7 -29.9679
  68 0.675 6577.1 -30.024
  69 0.685 5189.9 -30.0221
  70 0.695 6016.3 -29.9919
  71 0.705 4885 -30.0213
  72 0.715 3628.7 -30.048
  73 0.725 3676 -30.0708
  74 0.735 3684.6 -30.026
  75 0.745 3787.1 -29.97
  76 0.755 6601.3 -29.9802
  77 0.765 5043 -29.9831
  78 0.775 6724 -30.0428
  79 0.785 5043 -29.9418
  80 0.795 6724 -29.9976
  81 0.805 5043 -30.0088
  82 0.815 6724 -30.0259
  83 0.825 5043 -29.9915
  84 0.835 6635.2 -30.0047
  85 0.845 3760.7 -30.0229
  86 0.855 3678.1 -29.9636
  87 0.865 3675 -29.9835
  88 0.875 3626.9 -29.9815
  89 0.885 4838.1 -29.9557
  90 0.895 6065 -30.0064
  91 0.905 5187.9 -29.9738
  92 0.915 6579.1 -29.9475
  93 0.925 5063.6 -29.9539
  94 0.935 6703.4 -29.9789
  95 0.945 5052 -30.0153
  96 0.955 6715 -30.0009
  97 0.965 5096.7 -29.9977
  98 0.975 6441.3 -30.0078
  99 0.985 3394.9 -29.9298
  100 0.995 3736.1 -30.0057
30 100 440002
  1 0.005 3716.7 29.9415
  2 0.015 3451.6 29.9479
  3 0.025 6422.8 30.0236
  4 0.035 5058.9 30.0281
  5 0.045 6724 30.0176
  6 0.055 5043 29.9755
  7 0.065 6708.5 30.0122
  8 0.075 5058.5 30.0051
  9 0.085 6594.8 30.0375
  10 0.095 5172.2 29.931
  11 0.105 6105.8 30.0296
  12 0.115 4797.2 30.0285
  13 0.125 3627 29.9593
  14 0.135 3675 30.0759
  15 0.145 3677 29.9875
  16 0.155 3766.5 29.9758
  17 0.165 6630.5 29.9901
  18 0.175 5043 30.014
  19 0.185 6724 30.0428
  20 0.195 5043 30.036
  21 0.205 6724 29.9827
  22 0.215 5043 29.9567
  23 0.225 6723.7 29.9692
  24 0.235 5043.3 30.0151
  25 0.245 6556.4 29.9745
  26 0.255 3834.4 29.9794
  27 0.265 3683.2 30.0034
  28 0.275 3675.3 29.9915
  29 0.285 3620 30.0319
  30 0.295 4763.6 30.0275
  31 0.305 6146.1 29.9582
  32 0.315 5127.9 29.9935
  33 0.325 6639.1 30.0064
  34 0.335 5044.3 29.9981
  35 0.345 6722.7 29.995
  36 0.355 5043 29.9417
  37 0.365 6724 29.952
  38 0.375 5043 30.0129
  39 0.385 6565.7 30.0095
  40 0.395 3250.6 29.9709
  41 0.405 5158.3 29.8822
  42 0.415 5709.6 30.0688
  43 0.425 137.8 30.4051
  44 0.435 0 0
  45 0.445 0 0
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 0 0
  57 0.565 0 0
  58 0.575 136.1 -32.7897
  59 0.585 5673.2 -29.9937
  60 0.595 5178.3 -29.9627
  61 0.605 3209.2 -29.9366
  62 0.615 6567.2 -30.0065
  63 0.625 5043 -30.0833
  64 0.635 6724 -29.9814
  65 0.645 5043 -29.9841
  66 0.655 6722.3 -29.9708
  67 0.665 5044.7 -29.9678
  68 0.675 6669.2 -30.0228
  69 0.685 5097.8 -30.0221
  70 0.695 6158.3 -29.9983
  71 0.705 4750 -30.018
  72 0.715 3621.7 -30.0402
  73 0.725 3676.6 -30.0705
  74 0.735 3685.8 -30.0273
