# Chunk-averaged data for fix temp_bias and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10 100 442002
  1 0.005 3683.5 303.687
  2 0.015 3519.2 299.304
  3 0.025 6415.2 299.787
  4 0.035 5051.8 305.075
  5 0.045 6724 297.976
  6 0.055 5043 300.576
  7 0.065 6723.1 299.571
  8 0.075 5043.9 295.879
  9 0.085 6721.8 302.89
  10 0.095 5045.2 297.061
  11 0.105 6416.2 301.46
  12 0.115 4488.8 302.947
  13 0.125 3625 298.784
  14 0.135 3675 296.121
  15 0.145 3675 298.186
  16 0.155 3766.9 291.942
  17 0.165 6632.1 300.538
  18 0.175 5043 294.788
  19 0.185 6724 299.883
  20 0.195 5043 302.289
  21 0.205 6724 301.225
  22 0.215 5043 295.455
  23 0.225 6724 300.289
  24 0.235 5043 302.631
  25 0.245 6721.1 300.68
  26 0.255 3677.9 298.663
  27 0.265 3675 302.289
  28 0.275 3675 303.185
  29 0.285 3636 298.085
  30 0.295 4985.8 305.219
  31 0.305 5909.2 304.496
  32 0.315 5673.4 297.746
  33 0.325 6093.6 300.709
  34 0.335 5460.2 301.123
  35 0.345 6306.8 300.747
  36 0.355 5276.4 297.267
  37 0.365 6490.6 300.628
  38 0.375 5252.5 301.756
  39 0.385 6402.4 295.572
  40 0.395 3423.8 302.359
  41 0.405 5266.3 300.125
  42 0.415 6311.2 5100.52
  43 0.425 209.8 7753
  44 0.435 0 0
  45 0.445 0 0
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 0 0
  57 0.565 0 0
  58 0.575 216.8 3497.3
  59 0.585 6190.5 2619.29
  60 0.595 5318.5 299.178
  61 0.605 3427.6 302.005
  62 0.615 6364.4 295.141
  63 0.625 5287.2 298.049
  64 0.635 6442 304.003
  65 0.645 5325 293.284
  66 0.655 6390.8 298.778
  67 0.665 5376.2 299.297
  68 0.675 6104.9 296.423
  69 0.685 5662.1 301.8
  70 0.695 5895.8 306.552
  71 0.705 5004.5 302.654
  72 0.715 3629.7 301.669
  73 0.725 3675 301.405
  74 0.735 3673 295.315
  75 0.745 3678 297.065
  76 0.755 6723 296.456
  77 0.765 5043 302.7
  78 0.775 6724 296.76
  79 0.785 5043 304.383
  80 0.795 6724 299.825
  81 0.805 5043 302.584
  82 0.815 6724 297.582
  83 0.825 5043 299.038
  84 0.835 6617.7 305.816
