# Chunk-averaged data for fix temp_bias and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10 100 435844
  1 0.005 5043 299.027
  2 0.015 6724 296.331
  3 0.025 5043 300.886
  4 0.035 5043.3 299.039
  5 0.045 6313.6 297.326
  6 0.055 3387.4 297.303
  7 0.065 3493.5 304.37
  8 0.075 3266.7 298.768
  9 0.085 3642.9 295.772
  10 0.095 5169.2 302.029
  11 0.105 5324.4 303.955
  12 0.115 5043 301.742
  13 0.125 6713.7 301.581
  14 0.135 5053.3 296.513
  15 0.145 5043 303.419
  16 0.155 6698.8 303.927
  17 0.165 5068.2 296.672
  18 0.175 5043 299.861
  19 0.185 6290 300.212
  20 0.195 3978.3 293.129
  21 0.205 3703.9 300.07
  22 0.215 3364.5 306.467
  23 0.225 3412.7 299.281
  24 0.235 4044.5 297.976
  25 0.245 5804.1 303.784
  26 0.255 5043 295.722
  27 0.265 6082.5 297.477
  28 0.275 5684.5 298.234
  29 0.285 5043 297.945
  30 0.295 6196.2 295.706
  31 0.305 5570.8 301.598
  32 0.315 5043 302.102
  33 0.325 6053.3 297.56
  34 0.335 4774 304.265
  35 0.345 3532.4 300.545
  36 0.355 3446.5 298.287
  37 0.365 3507.2 298.69
  38 0.375 3443.9 300.953
  39 0.385 5595.7 300.593
  40 0.395 5319 299.783
  41 0.405 5674.4 298.273
  42 0.415 5380.6 304.693
  43 0.425 6610.3 303.268
  44 0.435 4195.8 321.165
  45 0.445 70.9 397.912
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 22.8 259.223
  57 0.565 3817.5 731.479
  58 0.575 6694 300.553
  59 0.585 5634.2 296.055
  60 0.595 5377 301.011
  61 0.605 5559.3 299.231
  62 0.615 5509.3 298.672
  63 0.625 3562.9 297.723
  64 0.635 3496.1 292.711
  65 0.645 3406.4 304.221
  66 0.655 3570.6 298.227
  67 0.665 4711.9 301.893
  68 0.675 6128 300.782
  69 0.685 5043 305.037
  70 0.695 5369.6 306.43
  71 0.705 6397.4 295.985
  72 0.715 5043 298.293
  73 0.725 5288 302.265
  74 0.735 6479 304.65
