# Chunk-averaged data for fix velocity_z and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vz
10 100 435844
  1 0.005 5043 30.011
  2 0.015 6724 29.9854
  3 0.025 5043 29.943
  4 0.035 5043.1 29.9672
  5 0.045 6308.9 30.0139
  6 0.055 3383.3 29.9806
  7 0.065 3486.7 29.9919
  8 0.075 3272.7 30.0584
  9 0.085 3633.8 30.0099
  10 0.095 5172.6 30.0447
  11 0.105 5339.9 30.016
  12 0.115 5043 30.0306
  13 0.125 6711.2 30.0419
  14 0.135 5055.8 30.0102
  15 0.145 5043 30.0238
  16 0.155 6691.2 29.9999
  17 0.165 5075.8 30.0743
  18 0.175 5043 30.0083
  19 0.185 6271.5 29.9617
  20 0.195 3987.1 30.0223
  21 0.205 3701.1 29.9921
  22 0.215 3348.7 29.9599
  23 0.225 3423.9 29.9784
  24 0.235 4040.4 30.0325
  25 0.245 5825.3 29.9878
  26 0.255 5043 29.9479
  27 0.265 5999.9 30.006
  28 0.275 5767.1 29.9967
  29 0.285 5043 29.9821
  30 0.295 6122.5 30.0171
  31 0.305 5644.5 30.0564
  32 0.315 5043 30.0218
  33 0.325 6023.7 30.0496
  34 0.335 4793 29.9907
  35 0.345 3527.9 30.0493
  36 0.355 3443.8 29.9975
  37 0.365 3508.8 30.0052
  38 0.375 3453.6 29.9943
  39 0.385 5592.1 29.9672
  40 0.395 5320.8 30.0431
  41 0.405 5666.4 29.9879
  42 0.415 5392.4 29.953
  43 0.425 6594.9 29.9527
  44 0.435 4214.9 29.8457
  45 0.445 71.7 30.3775
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 23.3 -31.383
  57 0.565 3834.5 -30.0566
  58 0.575 6688.3 -30.0471
  59 0.585 5634.7 -29.9986
  60 0.595 5374.5 -30.0043
  61 0.605 5563.3 -30.0119
  62 0.615 5502.4 -29.9697
  63 0.625 3568.6 -30.0335
  64 0.635 3506.2 -30.0313
  65 0.645 3405.1 -30.0373
  66 0.655 3557.5 -29.9753
  67 0.665 4735.7 -29.9499
  68 0.675 6095.9 -30.0023
  69 0.685 5043 -30.0053
  70 0.695 5430.7 -29.9619
  71 0.705 6336.3 -30.0221
  72 0.715 5043 -30.0251
  73 0.725 5340.2 -30.0325
  74 0.735 6426.8 -29.9632
  75 0.745 5043 -29.9872
  76 0.755 5728.5 -30.0464
  77 0.765 4075.8 -30.128
  78 0.775 3368.8 -29.9999
  79 0.785 3446 -30.0146
  80 0.795 3678.9 -29.9573
  81 0.805 3944.4 -30.0684
  82 0.815 6355.6 -30.0217
  83 0.825 5043 -29.9834
  84 0.835 5047.4 -29.9589
  85 0.845 6719.6 -30.0385
  86 0.855 5043 -30.0288
  87 0.865 5047.9 -30.0137
  88 0.875 6719.1 -30.0034
  89 0.885 5043 -29.9604
  90 0.895 5222.3 -29.9546
  91 0.905 5196.2 -30.0351
  92 0.915 3624.5 -29.9783
  93 0.925 3280.9 -30.024
  94 0.935 3511.4 -30.0098
  95 0.945 3417.5 -29.9428
  96 0.955 6343.3 -29.9862
  97 0.965 5044.9 -29.9766
  98 0.975 5043 -30.0414
  99 0.985 6724 -29.9744
  100 0.995 5043 -29.9757
20 100 435844
  1 0.005 5043 30.0018
  2 0.015 6724 29.9845
  3 0.025 5043 29.9448
  4 0.035 5043 29.9668
  5 0.045 6298.9 30.0137
  6 0.055 3373.8 29.9784
  7 0.065 3461.7 29.9962
  8 0.075 3283.1 30.0659
  9 0.085 3630.4 29.9954
  10 0.095 5153.5 30.0406
  11 0.105 5396.6 30.0214
  12 0.115 5043 30.0318
  13 0.125 6696.2 30.0419
  14 0.135 5070.8 30.0125
  15 0.145 5043 30.0229
  16 0.155 6649.7 30.0015
  17 0.165 5117.3 30.07
  18 0.175 5043 30.0074
  19 0.185 6193.9 29.9624
  20 0.195 4022.5 30.0228
  21 0.205 3662.9 29.9885
  22 0.215 3296.2 29.9578
  23 0.225 3467.7 29.9847
  24 0.235 4026.5 30.0346
  25 0.245 5928.3 29.9875
  26 0.255 5043 29.9445
  27 0.265 5634.6 30.02
  28 0.275 6132.4 29.9861
  29 0.285 5043 29.9811
  30 0.295 5711.9 30.0205
  31 0.305 6055.1 30.0495
  32 0.315 5043 30.0247
  33 0.325 5872.7 30.0538
  34 0.335 4876.1 29.9772
  35 0.345 3513.2 30.0551
  36 0.355 3416.8 29.9852
  37 0.365 3549.4 30.0178
  38 0.375 3478 29.9876
  39 0.385 5581.9 29.9771
  40 0.395 5340.5 30.0363
  41 0.405 5592.3 29.9905
  42 0.415 5472.9 29.9515
  43 0.425 6519.6 29.9778
  44 0.435 4314.6 29.8162
  45 0.445 76 30.6805
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 25.5 -31.5623
  57 0.565 3926.8 -30.1042
  58 0.575 6652.2 -30.0093
  59 0.585 5631.2 -30.0053
  60 0.595 5384.2 -30.0038
  61 0.605 5574.7 -30.0147
  62 0.615 5457.6 -29.9657
  63 0.625 3591.5 -30.0341
  64 0.635 3560.9 -30.0237
  65 0.645 3401.8 -30.0497
  66 0.655 3509 -29.9781
  67 0.665 4842.2 -29.938
  68 0.675 5932.4 -30.0087
  69 0.685 5043 -30.0063
  70 0.695 5786.1 -29.964
  71 0.705 5980.9 -30.0223
  72 0.715 5043 -30.0247
  73 0.725 5659.2 -30.027
  74 0.735 6107.8 -29.9659
  75 0.745 5043 -29.9862
  76 0.755 5831.2 -30.0528
  77 0.765 4050.9 -30.1316
  78 0.775 3418.1 -29.988
  79 0.785 3367.2 -30.0127
  80 0.795 3674.8 -29.9614
  81 0.805 3975.4 -30.0739
  82 0.815 6280.4 -30.0163
  83 0.825 5043 -29.9837
  84 0.835 5057.6 -29.9572
  85 0.845 6709.4 -30.0396
  86 0.855 5043 -30.031
  87 0.865 5051.1 -30.0077
  88 0.875 6715.9 -30.0056
  89 0.885 5043 -29.9618
  90 0.895 5269.7 -29.9548
  91 0.905 5192.7 -30.0274
  92 0.915 3632.4 -29.9863
  93 0.925 3267.1 -30.0198
  94 0.935 3495.1 -30.0151
  95 0.945 3402.4 -29.9402
  96 0.955 6338 -29.9876
  97 0.965 5043.6 -29.9758
  98 0.975 5043 -30.0413
  99 0.985 6724 -29.972
  100 0.995 5043 -29.9683
30 100 435844
  1 0.005 5043 29.9928
  2 0.015 6724 29.9836
  3 0.025 5043 29.9466
  4 0.035 5043 29.9664
  5 0.045 6288.5 30.0134
  6 0.055 3360 29.9777
  7 0.065 3431.1 29.9952
  8 0.075 3295.9 30.0731
  9 0.085 3634.9 29.987
  10 0.095 5127.3 30.0329
  11 0.105 5460.3 30.0285
  12 0.115 5043 30.0331
  13 0.125 6666.7 30.0417
  14 0.135 5100.3 30.015
  15 0.145 5043 30.0221
  16 0.155 6582.9 30.0004
  17 0.165 5184.1 30.0686
  18 0.175 5043 30.0068
  19 0.185 6127.3 29.9633
  20 0.195 4032.6 30.0192
  21 0.205 3622.7 29.9891
  22 0.215 3258.5 29.9613
  23 0.225 3515.2 29.9882
  24 0.235 4013.1 30.0302
  25 0.245 6028.6 29.9899
  26 0.255 5043 29.9411
  27 0.265 5348.9 30.0206
  28 0.275 6418.1 29.9889
  29 0.285 5043 29.9799
  30 0.295 5362 30.0183
  31 0.305 6405 30.0487
  32 0.315 5043 30.0278
  33 0.325 5669.7 30.0576
  34 0.335 4991.6 29.976
  35 0.345 3497.1 30.0446
  36 0.355 3427.3 29.9868
  37 0.365 3573.5 30.023
  38 0.375 3506.3 29.9809
  39 0.385 5560.5 29.9807
  40 0.395 5362 30.0331
  41 0.405 5514.6 29.9883
  42 0.415 5552.9 29.9556
  43 0.425 6453.5 29.9593
  44 0.435 4414.7 29.8774
  45 0.445 80.3 30.4749
  46 0.455 0 0
  47 0.465 0 0
  48 0.475 0 0
  49 0.485 0 0
  50 0.495 0 0
  51 0.505 0 0
  52 0.515 0 0
  53 0.525 0 0
  54 0.535 0 0
  55 0.545 0 0
  56 0.555 26.3 -31.2639
  57 0.565 4016.4 -30.1682
  58 0.575 6626.1 -29.969
  59 0.585 5609.2 -30.0062
  60 0.595 5410.4 -30.0043
  61 0.605 5604.8 -30.0156
  62 0.615 5379.6 -29.9635
  63 0.625 3608.5 -30.0321
  64 0.635 3611.2 -30.0168
  65 0.645 3419 -30.0471
  66 0.655 3490.7 -29.9995
  67 0.665 4931.6 -29.9321
  68 0.675 5756.2 -30.0079
  69 0.685 5043 -30.0071
  70 0.695 6175.9 -29.9624
  71 0.705 5591.1 -30.0268
  72 0.715 5043 -30.0243
  73 0.725 6068.6 -30.0216
  74 0.735 5698.4 -29.9686
  75 0.745 5043 -29.9853
  76 0.755 5918.6 -30.0462
  77 0.765 4051.7 -30.1447
  78 0.775 3453.7 -29.9845
  79 0.785 3329.6 -30.017
  80 0.795 3638.1 -29.9508
  81 0.805 3995.4 -30.0819
  82 0.815 6210.9 -30.0151
  83 0.825 5043 -29.9841
  84 0.835 5077.9 -29.9546
  85 0.845 6689.1 -30.0414
  86 0.855 5043 -30.0329
  87 0.865 5063.6 -30.0029
  88 0.875 6703.4 -30.007
  89 0.885 5043 -29.9631
  90 0.895 5316 -29.9531
  91 0.905 5181.3 -30.0172
  92 0.915 3648.5 -30.0021
  93 0.925 3263.6 -30.0154
  94 0.935 3467.4 -30.0156
  95 0.945 3391.1 -29.9453
  96 0.955 6330.1 -29.9871
  97 0.965 5043 -29.9751
  98 0.975 5043 -30.041
  99 0.985 6724 -29.9695
  100 0.995 5043 -29.9614
40 100 435844
  1 0.005 5043 29.9841
  2 0.015 6724 29.9828
  3 0.025 5043 29.9483
  4 0.035 5043 29.966
  5 0.045 6274.4 30.009
  6 0.055 3348.5 29.9828
  7 0.065 3404.9 30.0015
  8 0.075 3303.5 30.0698
  9 0.085 3647.1 29.986
  10 0.095 5090.4 30.0275
  11 0.105 5529.2 30.0308
  12 0.115 5043 30.0345
  13 0.125 6610.9 30.0399
  14 0.135 5156.1 30.0195
  15 0.145 5043 30.0213
  16 0.155 6476 29.9962
  17 0.165 5291 30.0705
