# Time-averaged data for fix 2
# TimeStep c_press
10000 338.007
20000 -212.397
30000 -302.213
40000 529.499
50000 -321.539
60000 250.389
70000 -14.458
80000 -34.419
90000 257.24
100000 -204.275
110000 -215.33
120000 122.226
130000 -190.451
140000 158.649
150000 225.47
160000 351.401
170000 461.019
180000 -132.281
190000 -542.024
200000 72.2959
210000 47.2622
220000 239.633
230000 45.8747
240000 94.6392
250000 -403.762
260000 352.144
270000 32.9655
280000 -2.46134
290000 536.324
300000 -165.84
310000 -268.409
320000 169.15
330000 -13.3438
340000 582.958
350000 222.377
360000 521.419
370000 -101.939
380000 49.1675
390000 -42.0641
400000 85.5461
410000 -26.3241
420000 517.664
430000 353.149
440000 81.3786
450000 5.31136
460000 -217.935
470000 -211.297
480000 -213.896
490000 359.449
500000 0.93912
510000 -186.088
520000 212.686
530000 -349.296
540000 -712.745
550000 163.637
560000 -233.216
570000 -364.158
580000 280.775
590000 -115.063
600000 -109.749
610000 -17.685
620000 365.824
630000 288.09
640000 -99.8836
650000 -440.281
660000 305.119
670000 -132.302
680000 699.327
690000 -61.0699
700000 -172.469
710000 -13.1522
720000 -176.756
730000 -23.3722
740000 801.037
750000 -177.078
760000 265.073
770000 -77.0128
780000 -86.08
790000 -153.887
800000 40.0486
810000 156.727
820000 467.869
830000 159.798
840000 -519.87
850000 42.1244
860000 -296.812
870000 -257.412
880000 614.22
890000 -543.766
900000 -536.521
910000 -53.2428
920000 -181.972
930000 -241.877
940000 235.052
950000 -544.944
960000 301.268
970000 240.508
980000 -228.413
990000 -71.152
1000000 -45.7935
